public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
100,199.0,192.5,324.5,320,155,275,0.7
101,148.0,212.0,318.0,204,138,288,0.7
102,182.5,232.0,541.0,125,102,160,0.7
103,173.5,141.5,505.0,187,33,114,0.7
104,166.0,91.5,408.5,198,95,205,0.7
105,177.0,225.0,376.5,276,126,337,0.7
106,172.0,169.5,547.0,206,115,278,0.7
107,218.5,235.0,574.5,323,164,403,0.7
108,144.0,192.0,307.5,224,24,103,0.7
109,194.5,184.5,433.0,147,43,170,0.7
110,254.0,194.5,428.5,274,35,139,0.7
111,155.5,186.0,303.0,197,106,124,0.7
112,165.0,251.0,479.0,172,84,244,0.7
113,230.0,204.0,406.0,356,288,462,0.7
114,114.5,207.0,518.5,153,120,501,0.7
115,117.5,151.5,479.0,181,239,480,0.7
116,76.5,189.5,442.0,81,85,366,0.7
117,75.5,235.5,321.0,113,13,44,0.7
118,213.5,248.0,420.0,265,206,436,0.7
119,226.5,228.0,486.5,177,18,205,0.7
120,193.5,196.5,456.5,289,245,461,0.7
121,186.5,135.5,357.5,143,123,345,0.7
122,197.5,115.0,395.0,245,184,424,0.7
123,106.0,180.5,330.5,96,17,57,0.7
124,0.0,0.0,0.0,0,0,0,0.0
125,152.5,134.5,238.5,211,55,297,0.7
126,152.5,146.0,403.0,221,172,200,0.7
127,153.0,209.0,268.5,236,118,375,0.7
128,151.5,228.5,381.0,239,159,322,0.7
129,224.0,184.0,639.5,192,38,317,0.7
